content_hash_id,refresh_score,gsc_clicks,gsc_impressions,gsc_avg_position,days_since_update,priority
content_d9b5ff7f03d7659e,1.0,0,0,,97,High
content_f52bff826f7b99e0,1.0,0,0,,97,High
content_9fcf74978725cbce,1.0,0,27,44.96296296296296,97,High
content_3c1a0625214073a8,1.0,0,6,29.5,97,High
content_2ca054d9edf87d7d,1.0,0,65,8.646153846153846,-29,High
content_dbd4cab30fa4116f,1.0,0,77,45.15584415584416,13,High
content_63574303b2a9f7de,1.0,0,0,,97,High
content_4d23a1ec00fd2731,1.0,0,4,1.75,97,High
content_8a38748dc7e7a3fc,1.0,0,2,55.5,97,High
content_d00020a78a8f99b8,1.0,0,17,29.470588235294116,97,High
content_4e72bee4fee401f0,1.0,0,25,10.28,-27,High
content_712977d9703c59f3,1.0,0,0,,97,High
content_2367958e62f6c50c,1.0,0,92,5.391304347826087,-24,High
content_af97e662c85c30d4,1.0,0,29,24.03448275862069,-24,High
content_5c5d4a9dea99ac78,1.0,0,0,,97,High
content_d5a340f2692bbef3,1.0,0,0,,97,High
content_182c141164e713e5,1.0,0,60,11.133333333333333,13,High
content_0ed64b3ba5171baf,1.0,0,42,50.166666666666664,97,High
content_897e8723d721565c,1.0,0,0,,97,High
content_ed705ca7c2627b1f,1.0,0,3,26.0,97,High
content_ebc0deadc6652a7c,1.0,0,0,,97,High
content_ff8fe1c125ac65cf,1.0,0,223,23.443946188340806,-13,High
content_462a9731fdcddb4b,1.0,0,2,23.5,97,High
content_4322e260400b7555,1.0,0,3,7.666666666666667,97,High
content_5667c980fd0c74cf,1.0,0,23,37.0,97,High
content_cb61c76d984a21f8,1.0,0,1,5.0,97,High
content_58bf01287a66c10d,1.0,0,5,23.4,97,High
content_989a1a7796a09ee8,1.0,0,0,,97,High
content_ca712193ec6e9361,1.0,0,2,7.0,97,High
content_56b3f135a14025a5,1.0,0,2,75.5,97,High
content_b903265f46222412,1.0,0,31,9.290322580645162,-27,High
content_507d3247f77dbfd6,1.0,0,215,41.86976744186047,97,High
content_e7f323d8e4ec199c,1.0,0,52,20.96153846153846,-13,High
content_03e5f9aa591d5d11,1.0,0,1,13.0,97,High
content_4372b09911eb4e27,1.0,0,91,11.076923076923077,-22,High
content_21e187279d94b9dd,1.0,0,8,15.25,97,High
content_a7925dd11a3ce13a,1.0,0,0,,97,High
content_c9df9cc067d68fbe,1.0,0,47,38.61702127659574,97,High
content_a26674c240f659c7,1.0,0,0,,97,High
content_0e61dd8e6519c2b1,1.0,0,7,52.57142857142857,97,High
content_c9663248fa51a7c1,1.0,0,1,11.0,97,High
content_a706e9bd8d582b1d,1.0,0,7,56.57142857142857,97,High
content_19ab0b611fe2fecf,1.0,0,3,53.666666666666664,97,High
content_1214cf1a812fb017,1.0,0,0,,97,High
content_cd1893cc1dc2aae7,1.0,0,0,,97,High
content_9dce095847f1b40a,1.0,0,0,,97,High
content_57fc9d92379cbe44,1.0,0,0,,97,High
content_071023dfdf9b5acf,1.0,0,91,13.296703296703297,-26,High
content_d243d932b6765367,1.0,0,0,,97,High
content_5f969916112944ea,1.0,0,0,,97,High
content_e56fb80160ee45e5,1.0,0,33,8.333333333333334,97,High
content_6ddc1efe560d60e2,1.0,1,105,25.447619047619046,-13,High
content_4b4a0b01cc54b0af,1.0,0,2,79.0,97,High
content_ff57c8b7ce81cfa4,1.0,1,142,44.028169014084504,-34,High
content_ddbb0c32bc82ee08,1.0,0,167,24.40119760479042,-13,High
content_36d0c1ef58ccd9c8,1.0,0,0,,97,High
content_828bab49cd17a228,1.0,0,0,,97,High
content_370d3847ae7778e7,1.0,0,50,9.18,-13,High
content_72fb699e39f3f194,1.0,0,33,10.787878787878787,97,High
content_2611e5f7457a2a4b,1.0,0,47,31.51063829787234,-20,High
content_5b4d093250e80e0f,1.0,0,0,,97,High
content_6698e2ec0900ad85,1.0,0,1,8.0,97,High
content_9d9e03178f191913,1.0,0,88,31.329545454545453,-13,High
content_d628a16c7de06d50,1.0,0,11,7.454545454545454,97,High
content_a4449dbdaee8bb5a,1.0,0,0,,97,High
content_63789e09236b1557,1.0,0,193,22.927461139896373,-20,High
content_b72ffeefcba5d37c,1.0,0,0,,97,High
content_fa8b769a8471d2f1,1.0,0,0,,97,High
content_12c3d13fb2f27404,1.0,0,0,,97,High
content_ef7863bd14e8455a,1.0,0,0,,97,High
content_382cf0f558287c50,1.0,0,4,28.25,97,High
content_a72c78749afcd694,1.0,0,405,31.17530864197531,97,High
content_966d9e887f7f1fea,1.0,0,0,,97,High
content_a5e76284fd9b9d98,1.0,0,0,,97,High
content_9a68a4fa4b5301ab,1.0,0,0,,97,High
content_cc62fb755948b98f,1.0,0,0,,97,High
